Index,detectorType,descriptorType,ttcLidar,ttcCamera,Difference
1,SHITOMASI,BRISK,12.3214,15.0122,-2.69072
2,SHITOMASI,BRISK,12.7144,13.047,-0.332544
3,SHITOMASI,BRISK,14.2179,13.4537,0.764212
4,SHITOMASI,BRISK,16.6894,13.016,3.67334
5,SHITOMASI,BRISK,15.7465,12.8167,2.92987
6,SHITOMASI,BRISK,12.6778,11.7556,0.92228
7,SHITOMASI,BRISK,13.1197,12.3426,0.777084
8,SHITOMASI,BRISK,12.0825,13.6508,-1.56826
9,SHITOMASI,BRISK,13.0241,11.274,1.75016
10,SHITOMASI,BRISK,11.1746,35.5348,-24.3602
11,SHITOMASI,BRISK,12.8086,12.7762,0.0323837
12,SHITOMASI,BRISK,8.95978,11.5836,-2.62381
13,SHITOMASI,BRISK,9.96439,11.3089,-1.34447
14,SHITOMASI,BRISK,9.59863,12.5097,-2.9111
15,SHITOMASI,BRISK,8.52157,10.225,-1.7034
16,SHITOMASI,BRISK,9.51552,11.6167,-2.10121
17,SHITOMASI,BRISK,9.61241,10.0052,-0.392819
18,SHITOMASI,BRISK,8.45094,10.2699,-1.81897
1,SHITOMASI,BRIEF,12.3214,14.6699,-2.34848
2,SHITOMASI,BRIEF,12.7144,13.9717,-1.25724
3,SHITOMASI,BRIEF,14.2179,9.73978,4.47817
4,SHITOMASI,BRIEF,16.6894,14.982,1.70737
5,SHITOMASI,BRIEF,15.7465,12.7628,2.98374
6,SHITOMASI,BRIEF,12.6778,13.27,-0.592156
7,SHITOMASI,BRIEF,13.1197,15.2664,-2.14666
8,SHITOMASI,BRIEF,12.0825,12.0847,-0.00222759
9,SHITOMASI,BRIEF,13.0241,11.87,1.15415
10,SHITOMASI,BRIEF,11.1746,12.6285,-1.45382
11,SHITOMASI,BRIEF,12.8086,11.8507,0.95793
12,SHITOMASI,BRIEF,8.95978,11.7623,-2.80251
13,SHITOMASI,BRIEF,9.96439,11.7197,-1.75529
14,SHITOMASI,BRIEF,9.59863,11.3557,-1.75707
15,SHITOMASI,BRIEF,8.52157,12.1983,-3.6767
16,SHITOMASI,BRIEF,9.51552,8.23961,1.27592
17,SHITOMASI,BRIEF,9.61241,11.1379,-1.52547
18,SHITOMASI,BRIEF,8.45094,8.43097,0.019973
1,SHITOMASI,ORB,12.3214,13.8743,-1.55288
2,SHITOMASI,ORB,12.7144,11.0038,1.71066
3,SHITOMASI,ORB,14.2179,12.8155,1.40243
4,SHITOMASI,ORB,16.6894,12.4814,4.20799
5,SHITOMASI,ORB,15.7465,12.5187,3.22781
6,SHITOMASI,ORB,12.6778,13.2198,-0.541926
7,SHITOMASI,ORB,13.1197,13.0506,0.0691336
8,SHITOMASI,ORB,12.0825,11.8822,0.200324
9,SHITOMASI,ORB,13.0241,11.4426,1.58153
10,SHITOMASI,ORB,11.1746,13.9028,-2.72816
11,SHITOMASI,ORB,12.8086,11.7805,1.02808
12,SHITOMASI,ORB,8.95978,11.5712,-2.6114
13,SHITOMASI,ORB,9.96439,11.6341,-1.6697
14,SHITOMASI,ORB,9.59863,10.8656,-1.26696
15,SHITOMASI,ORB,8.52157,10.266,-1.74448
16,SHITOMASI,ORB,9.51552,8.17853,1.33699
17,SHITOMASI,ORB,9.61241,9.68906,-0.0766476
18,SHITOMASI,ORB,8.45094,8.11259,0.338353
1,SHITOMASI,FREAK,12.3214,19.4375,-7.11604
2,SHITOMASI,FREAK,12.7144,13.3176,-0.603119
3,SHITOMASI,FREAK,14.2179,11.3823,2.83569
4,SHITOMASI,FREAK,16.6894,13.0809,3.60847
5,SHITOMASI,FREAK,15.7465,12.9278,2.81874
6,SHITOMASI,FREAK,12.6778,14.9582,-2.28037
7,SHITOMASI,FREAK,13.1197,11.5744,1.54525
8,SHITOMASI,FREAK,12.0825,12.0493,0.0332427
9,SHITOMASI,FREAK,13.0241,11.1691,1.85506
10,SHITOMASI,FREAK,11.1746,13.5197,-2.34511
11,SHITOMASI,FREAK,12.8086,11.7837,1.02492
12,SHITOMASI,FREAK,8.95978,12.0631,-3.10331
13,SHITOMASI,FREAK,9.96439,11.9393,-1.97494
14,SHITOMASI,FREAK,9.59863,12.5302,-2.93162
15,SHITOMASI,FREAK,8.52157,12.463,-3.9414
16,SHITOMASI,FREAK,9.51552,10.7084,-1.19285
17,SHITOMASI,FREAK,9.61241,10.5777,-0.965284
18,SHITOMASI,FREAK,8.45094,10.6551,-2.20416
1,SHITOMASI,SIFT,12.3214,14.0087,-1.68728
2,SHITOMASI,SIFT,12.7144,11.7773,0.937136
3,SHITOMASI,SIFT,14.2179,10.9546,3.26334
4,SHITOMASI,SIFT,16.6894,12.6726,4.01679
5,SHITOMASI,SIFT,15.7465,11.8313,3.9152
6,SHITOMASI,SIFT,12.6778,12.9945,-0.316643
7,SHITOMASI,SIFT,13.1197,13.4182,-0.298466
8,SHITOMASI,SIFT,12.0825,13.2566,-1.17412
9,SHITOMASI,SIFT,13.0241,12.2088,0.815333
10,SHITOMASI,SIFT,11.1746,13.5138,-2.33921
11,SHITOMASI,SIFT,12.8086,12.0821,0.726465
12,SHITOMASI,SIFT,8.95978,11.5386,-2.57884
13,SHITOMASI,SIFT,9.96439,11.3886,-1.4242
14,SHITOMASI,SIFT,9.59863,11.5744,-1.97582
15,SHITOMASI,SIFT,8.52157,10.8477,-2.32616
16,SHITOMASI,SIFT,9.51552,7.48456,2.03096
17,SHITOMASI,SIFT,9.61241,11.0073,-1.39493
18,SHITOMASI,SIFT,8.45094,8.23276,0.218181
1,HARRIS,SIFT,12.3214,10.9082,1.41322
2,HARRIS,SIFT,12.7144,-18.6701,31.3845
3,HARRIS,SIFT,14.2179,-22.9463,37.1642
4,HARRIS,SIFT,16.6894,10.9782,5.71114
5,HARRIS,SIFT,15.7465,13.6432,2.10334
6,HARRIS,SIFT,12.6778,27.8744,-15.1966
7,HARRIS,SIFT,13.1197,13.497,-0.377277
8,HARRIS,SIFT,12.0825,17.6204,-5.53788
9,HARRIS,SIFT,13.0241,16.2396,-3.21552
10,HARRIS,SIFT,11.1746,-13.4405,24.6152
11,HARRIS,SIFT,12.8086,11.1552,1.65344
12,HARRIS,SIFT,8.95978,12.1078,-3.14801
13,HARRIS,SIFT,9.96439,13.3781,-3.4137
14,HARRIS,SIFT,9.59863,5.85828,3.74035
15,HARRIS,SIFT,8.52157,-25.2781,33.7997
16,HARRIS,SIFT,9.51552,9.23765,0.277875
17,HARRIS,SIFT,9.61241,11.7964,-2.18397
18,HARRIS,SIFT,8.45094,#NAME?,inf
1,HARRIS,FREAK,12.3214,9.67691,2.64453
2,HARRIS,FREAK,12.7144,-0.472688,13.1871
3,HARRIS,FREAK,14.2179,-20.0948,34.3127
4,HARRIS,FREAK,16.6894,12.1284,4.56099
5,HARRIS,FREAK,15.7465,-88.5609,104.307
6,HARRIS,FREAK,12.6778,14.7045,-2.02662
7,HARRIS,FREAK,13.1197,13.342,-0.222269
8,HARRIS,FREAK,12.0825,78.3024,-66.2199
9,HARRIS,FREAK,13.0241,0.136149,12.888
10,HARRIS,FREAK,11.1746,10.2931,0.881533
11,HARRIS,FREAK,12.8086,11.0967,1.71188
12,HARRIS,FREAK,8.95978,#NAME?,inf
13,HARRIS,FREAK,9.96439,13.4095,-3.44511
14,HARRIS,FREAK,9.59863,12.288,-2.68935
15,HARRIS,FREAK,8.52157,-12.639,21.1606
16,HARRIS,FREAK,9.51552,8.7674,0.748125
17,HARRIS,FREAK,9.61241,11.7964,-2.18397
18,HARRIS,FREAK,8.45094,25.6763,-17.2253
1,HARRIS,ORB,12.3214,10.9082,1.41322
2,HARRIS,ORB,12.7144,19.3751,-6.66064
3,HARRIS,ORB,14.2179,-11.4731,25.6911
4,HARRIS,ORB,16.6894,10.9782,5.71114
5,HARRIS,ORB,15.7465,13.6432,2.10334
6,HARRIS,ORB,12.6778,nan,nan
7,HARRIS,ORB,13.1197,13.497,-0.377277
8,HARRIS,ORB,12.0825,17.6204,-5.53788
9,HARRIS,ORB,13.0241,3.93864,9.08548
10,HARRIS,ORB,11.1746,#NAME?,inf
11,HARRIS,ORB,12.8086,11.4377,1.37092
12,HARRIS,ORB,8.95978,11.3925,-2.43275
13,HARRIS,ORB,9.96439,13.3781,-3.4137
14,HARRIS,ORB,9.59863,6.06984,3.52879
15,HARRIS,ORB,8.52157,#NAME?,inf
16,HARRIS,ORB,9.51552,6.71705,2.79847
17,HARRIS,ORB,9.61241,12.5848,-2.97243
18,HARRIS,ORB,8.45094,#NAME?,inf
1,HARRIS,BRIEF,12.3214,10.9082,1.41322
2,HARRIS,BRIEF,12.7144,19.3751,-6.66064
3,HARRIS,BRIEF,14.2179,-20.0948,34.3127
4,HARRIS,BRIEF,16.6894,10.9782,5.71114
5,HARRIS,BRIEF,15.7465,34.7543,-19.0077
6,HARRIS,BRIEF,12.6778,14.7045,-2.02662
7,HARRIS,BRIEF,13.1197,14.2744,-1.1547
8,HARRIS,BRIEF,12.0825,17.6204,-5.53788
9,HARRIS,BRIEF,13.0241,3.93864,9.08548
10,HARRIS,BRIEF,11.1746,20.5862,-9.41157
11,HARRIS,BRIEF,12.8086,11.1552,1.65344
12,HARRIS,BRIEF,8.95978,12.1078,-3.14801
13,HARRIS,BRIEF,9.96439,13.3781,-3.4137
14,HARRIS,BRIEF,9.59863,5.66097,3.93766
15,HARRIS,BRIEF,8.52157,-25.2781,33.7997
16,HARRIS,BRIEF,9.51552,6.7641,2.75143
17,HARRIS,BRIEF,9.61241,11.7964,-2.18397
18,HARRIS,BRIEF,8.45094,3.44988,5.00106
1,HARRIS,BRISK,12.3214,10.9082,1.41322
2,HARRIS,BRISK,12.7144,52.7952,-40.0807
3,HARRIS,BRISK,14.2179,-11.4731,25.6911
4,HARRIS,BRISK,16.6894,11.3951,5.29424
5,HARRIS,BRISK,15.7465,44.9166,-29.1701
6,HARRIS,BRISK,12.6778,12.9945,-0.316643
7,HARRIS,BRISK,13.1197,13.342,-0.222269
8,HARRIS,BRISK,12.0825,17.6204,-5.53788
9,HARRIS,BRISK,13.0241,-0.728618,13.7527
10,HARRIS,BRISK,11.1746,-153.93,165.104
11,HARRIS,BRISK,12.8086,11.7414,1.06717
12,HARRIS,BRISK,8.95978,11.3925,-2.43275
13,HARRIS,BRISK,9.96439,284.161,-274.197
14,HARRIS,BRISK,9.59863,7.72144,1.87719
15,HARRIS,BRISK,8.52157,-12.4873,21.0088
16,HARRIS,BRISK,9.51552,8.52258,0.992948
17,HARRIS,BRISK,9.61241,12.5848,-2.97243
18,HARRIS,BRISK,8.45094,0.687055,7.76388
1,FAST,BRISK,12.3214,12.3348,-0.0133354
2,FAST,BRISK,12.7144,12.5319,0.182551
3,FAST,BRISK,14.2179,14.369,-0.151027
4,FAST,BRISK,16.6894,12.6071,4.08227
5,FAST,BRISK,15.7465,47.214,-31.4675
6,FAST,BRISK,12.6778,12.5623,0.115572
7,FAST,BRISK,13.1197,16.8088,-3.68911
8,FAST,BRISK,12.0825,11.3042,0.778283
9,FAST,BRISK,13.0241,13.0274,-0.00332425
10,FAST,BRISK,11.1746,13.1088,-1.9342
11,FAST,BRISK,12.8086,14.4445,-1.63587
12,FAST,BRISK,8.95978,11.4004,-2.44066
13,FAST,BRISK,9.96439,12.2419,-2.27751
14,FAST,BRISK,9.59863,12.1036,-2.50499
15,FAST,BRISK,8.52157,11.7034,-3.18184
16,FAST,BRISK,9.51552,11.9393,-2.42376
17,FAST,BRISK,9.61241,8.23767,1.37475
18,FAST,BRISK,8.45094,11.7578,-3.30687
1,FAST,BRIEF,12.3214,10.7101,1.61138
2,FAST,BRIEF,12.7144,11.0063,1.7081
3,FAST,BRIEF,14.2179,14.1559,0.0620491
4,FAST,BRIEF,16.6894,14.3836,2.30583
5,FAST,BRIEF,15.7465,20.0387,-4.29213
6,FAST,BRIEF,12.6778,13.293,-0.615154
7,FAST,BRIEF,13.1197,12.2128,0.90695
8,FAST,BRIEF,12.0825,12.7596,-0.677078
9,FAST,BRIEF,13.0241,12.6,0.424118
10,FAST,BRIEF,11.1746,13.4587,-2.28403
11,FAST,BRIEF,12.8086,13.6717,-0.863051
12,FAST,BRIEF,8.95978,10.9082,-1.94844
13,FAST,BRIEF,9.96439,12.3674,-2.40298
14,FAST,BRIEF,9.59863,11.2431,-1.64451
15,FAST,BRIEF,8.52157,11.8747,-3.35309
16,FAST,BRIEF,9.51552,11.8375,-2.32198
17,FAST,BRIEF,9.61241,7.92013,1.69229
18,FAST,BRIEF,8.45094,11.554,-3.10305
1,FAST,ORB,12.3214,11.0506,1.27083
2,FAST,ORB,12.7144,10.6351,2.07933
3,FAST,ORB,14.2179,13.4008,0.817173
4,FAST,ORB,16.6894,12.7627,3.92668
5,FAST,ORB,15.7465,18.0923,-2.34576
6,FAST,ORB,12.6778,12.9892,-0.311334
7,FAST,ORB,13.1197,12.4642,0.655521
8,FAST,ORB,12.0825,11.3522,0.730305
9,FAST,ORB,13.0241,12.1119,0.912196
10,FAST,ORB,11.1746,13.4169,-2.24225
11,FAST,ORB,12.8086,13.4172,-0.608606
12,FAST,ORB,8.95978,10.4239,-1.46414
13,FAST,ORB,9.96439,12.0462,-2.08178
14,FAST,ORB,9.59863,11.0103,-1.41167
15,FAST,ORB,8.52157,11.3841,-2.86258
16,FAST,ORB,9.51552,11.5936,-2.07805
17,FAST,ORB,9.61241,7.57979,2.03263
18,FAST,ORB,8.45094,10.5845,-2.13361
1,FAST,FREAK,12.3214,12.1862,0.135238
2,FAST,FREAK,12.7144,16.3987,-3.68424
3,FAST,FREAK,14.2179,14.8112,-0.593267
4,FAST,FREAK,16.6894,14.0729,2.61651
5,FAST,FREAK,15.7465,14.4739,1.27269
6,FAST,FREAK,12.6778,12.5628,0.115073
7,FAST,FREAK,13.1197,13.9889,-0.869236
8,FAST,FREAK,12.0825,11.9033,0.179154
9,FAST,FREAK,13.0241,12.8498,0.174312
10,FAST,FREAK,11.1746,13.6864,-2.51178
11,FAST,FREAK,12.8086,13.1746,-0.366021
12,FAST,FREAK,8.95978,11.5139,-2.55407
13,FAST,FREAK,9.96439,11.8251,-1.86066
14,FAST,FREAK,9.59863,11.4149,-1.81624
15,FAST,FREAK,8.52157,11.386,-2.86447
16,FAST,FREAK,9.51552,11.9191,-2.40353
17,FAST,FREAK,9.61241,8.61022,1.00219
18,FAST,FREAK,8.45094,11.5066,-3.05562
1,FAST,SIFT,12.3214,12.8459,-0.524472
2,FAST,SIFT,12.7144,10.7133,2.00117
3,FAST,SIFT,14.2179,13.5153,0.702654
4,FAST,SIFT,16.6894,13.995,2.69442
5,FAST,SIFT,15.7465,26.3629,-10.6164
6,FAST,SIFT,12.6778,12.8903,-0.212446
7,FAST,SIFT,13.1197,13.4674,-0.34772
8,FAST,SIFT,12.0825,13.7045,-1.62202
9,FAST,SIFT,13.0241,12.9798,0.0443188
10,FAST,SIFT,11.1746,14.0994,-2.92477
11,FAST,SIFT,12.8086,15.164,-2.3554
12,FAST,SIFT,8.95978,11.6857,-2.72595
13,FAST,SIFT,9.96439,12.0107,-2.04629
14,FAST,SIFT,9.59863,11.5571,-1.95849
15,FAST,SIFT,8.52157,11.4218,-2.90027
16,FAST,SIFT,9.51552,11.1505,-1.63493
17,FAST,SIFT,9.61241,7.86159,1.75083
18,FAST,SIFT,8.45094,12.0915,-3.64058
1,BRISK,BRISK,12.3214,13.9354,-1.61399
2,BRISK,BRISK,12.7144,14.5453,-1.83081
3,BRISK,BRISK,14.2179,12.1648,2.05312
4,BRISK,BRISK,16.6894,15.5311,1.15827
5,BRISK,BRISK,15.7465,25.9354,-10.1888
6,BRISK,BRISK,12.6778,15.0214,-2.34356
7,BRISK,BRISK,13.1197,18.1356,-5.01588
8,BRISK,BRISK,12.0825,16.9012,-4.81869
9,BRISK,BRISK,13.0241,14.9058,-1.88165
10,BRISK,BRISK,11.1746,14.3012,-3.12651
11,BRISK,BRISK,12.8086,13.0458,-0.237224
12,BRISK,BRISK,8.95978,11.6197,-2.65993
13,BRISK,BRISK,9.96439,12.7156,-2.7512
14,BRISK,BRISK,9.59863,11.3689,-1.77032
15,BRISK,BRISK,8.52157,12.1932,-3.6716
16,BRISK,BRISK,9.51552,10.3623,-0.846814
17,BRISK,BRISK,9.61241,9.4183,0.194118
18,BRISK,BRISK,8.45094,10.5758,-2.12487
1,BRISK,BRIEF,12.3214,13.7112,-1.38981
2,BRISK,BRIEF,12.7144,18.0906,-5.37612
3,BRISK,BRIEF,14.2179,12.4078,1.81014
4,BRISK,BRIEF,16.6894,21.8203,-5.13092
5,BRISK,BRIEF,15.7465,26.0032,-10.2566
6,BRISK,BRIEF,12.6778,19.1942,-6.51632
7,BRISK,BRIEF,13.1197,17.9007,-4.78096
8,BRISK,BRIEF,12.0825,18.3884,-6.30586
9,BRISK,BRIEF,13.0241,14.9571,-1.93301
10,BRISK,BRIEF,11.1746,12.0464,-0.871728
11,BRISK,BRIEF,12.8086,11.5291,1.27946
12,BRISK,BRIEF,8.95978,14.1488,-5.18901
13,BRISK,BRIEF,9.96439,12.8901,-2.92571
14,BRISK,BRIEF,9.59863,10.3176,-0.718982
15,BRISK,BRIEF,8.52157,11.1009,-2.57933
16,BRISK,BRIEF,9.51552,13.0401,-3.52453
17,BRISK,BRIEF,9.61241,11.1959,-1.58351
18,BRISK,BRIEF,8.45094,9.5707,-1.11976
1,BRISK,ORB,12.3214,14.062,-1.74052
